time,0
2023-05-08,19
2023-05-09,537
2023-05-10,514
2023-05-11,521
2023-05-12,523
2023-05-13,511
2023-05-14,529
2023-05-15,542
2023-05-16,534
2023-05-17,520
2023-05-18,524
2023-05-19,530
2023-05-20,528
2023-05-21,526
2023-05-22,520
2023-05-23,502
2023-05-24,526
2023-05-25,530
2023-05-26,528
2023-05-27,534
2023-05-28,515
2023-05-29,509
2023-05-30,540
2023-05-31,526
2023-06-01,522
2023-06-02,530
2023-06-03,535
2023-06-04,528
2023-06-05,525
2023-06-06,532
2023-06-07,531
2023-06-08,526
2023-06-09,525
2023-06-10,536
2023-06-11,515
2023-06-12,531
2023-06-13,527
2023-06-14,535
2023-06-15,522
2023-06-16,520
2023-06-17,514
2023-06-18,538
2023-06-19,518
2023-06-20,543
2023-06-21,537
2023-06-22,524
2023-06-23,514
2023-06-24,538
2023-06-25,528
2023-06-26,525
2023-06-27,522
2023-06-28,517
2023-06-29,518
2023-06-30,520
2023-07-01,508
2023-07-02,517
2023-07-03,547
2023-07-04,524
2023-07-05,506
2023-07-06,506
2023-07-07,530
2023-07-08,505
2023-07-09,507
2023-07-10,542
2023-07-11,525
2023-07-12,524
2023-07-13,524
2023-07-14,530
2023-07-15,524
2023-07-16,517
2023-07-17,521
2023-07-18,516
2023-07-19,516
2023-07-20,544
2023-07-21,563
2023-07-22,521
2023-07-23,510
2023-07-24,525
2023-07-25,515
2023-07-26,525
2023-07-27,517
2023-07-28,524
2023-07-29,517
2023-07-30,507
2023-07-31,526
2023-08-01,532
2023-08-02,534
2023-08-03,538
2023-08-04,526
2023-08-05,508
2023-08-06,535
2023-08-07,49
