1,169.248.156.171,2023-05-29,https://www.daum.com,http://www.clayton-barker.net/search/index/,GET,/search/tag/list HTTP/1.0,200,4939,Mozilla/5.0,Mac,"AppleWebKit/534.36.5 (KHTML, like Gecko) Version/4.0",Safari/534.36.5,LK
2,67.213.68.38,2023-05-29,https://www.tistory.com,http://www.sullivan-lewis.com/,GET,/wp-content HTTP/1.0,200,4974,Mozilla/5.0,Mac,Gecko/2022-11-11 13:20:52,Firefox/3.8,GY
3,221.180.242.190,2023-05-29,https://www.zoom.com,http://www.miller.com/main/tag/homepage.php,GET,/apps/cart.jsp?appID=8494 HTTP/1.0,200,4980,Mozilla/5.0,Mac,Gecko/2013-04-16 22:31:01,Firefox/4.0,LA
4,4.66.185.21,2023-05-29,https://www.tistory.com,http://bowman.com/terms.php,GET,/explore HTTP/1.0,200,5021,Mozilla/5.0,Linux,Gecko/2016-02-09 11:05:08,Firefox/3.6.1,PR
5,188.16.109.129,2023-05-29,https://www.linkedin.com,http://rodriguez.com/,GET,/search/tag/list HTTP/1.0,200,5014,Opera/8.41.(X11;,Linux,Presto/2.9.164,Version/11.00,NI
6,137.197.82.209,2023-05-29,https://www.zoom.com,http://ramsey.com/list/app/wp-content/homepage/,GET,/list HTTP/1.0,200,4942,Mozilla/5.0,Mac,Gecko/2014-04-07 11:57:22,Firefox/3.6.17,KN
7,113.227.82.5,2023-05-29,https://www.daum.com,http://sawyer.com/register.html,GET,/wp-admin HTTP/1.0,200,4998,Mozilla/5.0,Windows,"AppleWebKit/5342 (KHTML, like Gecko) Chrome/14.0.885.0",Safari/5342,VU
8,38.45.162.199,2023-05-29,https://www.tistory.com,http://myers-thompson.com/tag/posts/home.htm,GET,/wp-admin HTTP/1.0,200,5027,Mozilla/5.0,Windows,Gecko/2016-10-28 19:37:18,Firefox/10.0,BI
9,227.64.236.16,2023-05-29,https://www.naver.com,http://www.ferguson.org/,GET,/explore HTTP/1.0,200,4938,Mozilla/5.0,Windows,Gecko/2013-11-11 09:29:04,Firefox/3.8,DE
10,12.193.164.29,2023-05-29,https://www.zoom.com,http://hill-hall.com/home/,POST,/search/tag/list HTTP/1.0,200,4913,Opera/8.73.(X11;,Linux,Presto/2.9.188,Version/11.00,BE
11,54.107.118.79,2023-05-29,https://www.google.com,http://jones.biz/,GET,/explore HTTP/1.0,500,4902,Mozilla/5.0,Windows,Gecko/2012-06-06 07:35:02,Firefox/3.8,AG
12,63.254.187.62,2023-05-29,https://www.zoom.com,http://brown-nicholson.net/login/,PUT,/wp-admin HTTP/1.0,200,4985,Mozilla/5.0,Linux,"AppleWebKit/5340 (KHTML, like Gecko) Chrome/15.0.868.0",Safari/5340,SZ
13,18.60.51.197,2023-05-29,https://www.naver.com,http://rivera-reed.com/,DELETE,/wp-content HTTP/1.0,200,4999,Opera/8.93.(Windows,None,Presto/2.9.181,Version/12.00,US
14,130.56.137.160,2023-05-29,https://www.zoom.com,http://www.osborn-aguilar.com/wp-content/app/category.jsp,GET,/wp-admin HTTP/1.0,200,4980,Mozilla/5.0,Mac,"AppleWebKit/5312 (KHTML, like Gecko) Chrome/15.0.893.0",Safari/5312,MO
15,96.188.22.124,2023-05-29,https://www.linkedin.com,http://henderson.com/list/tags/posts/about.php,GET,/explore HTTP/1.0,200,5091,Opera/9.46.(X11;,Linux,Presto/2.9.175,Version/11.00,JP
